DYADID,Person,PID,Day,DayOfWeek,TIME,GENDER,GenderS,AConflict,PConflict,AconflictC,PconflictC,CAAvoid,CPAvoid,woman,man,ASATISF,PSATISF,AsatisfC,PsatisfC,AconflictC_mean,PconflictC_mean,AconflictCC,PconflictCC
1,1,11,1,1,-6.5,1,Man,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,-0.785714286,-0.142857143
1,1,11,2,2,-5.5,1,Man,4,3,2.01,1.01,-0.887742718,-1.137742718,0,1,7,6.75,0.675651314,0.425651314,-0.204285714,0.152857143,2.214285714,0.857142857
1,1,11,3,3,-4.5,1,Man,3,3,1.01,1.01,-0.887742718,-1.137742718,0,1,6.5,6.5,0.175651314,0.175651314,-0.204285714,0.152857143,1.214285714,0.857142857
1,1,11,4,4,-3.5,1,Man,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,0.214285714,-0.142857143
1,1,11,5,5,-2.5,1,Man,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,0.214285714,-0.142857143
1,1,11,6,6,-1.5,1,Man,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,-0.785714286,-0.142857143
1,1,11,7,7,-0.5,1,Man,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,-0.785714286,-0.142857143
1,1,11,8,1,0.5,1,Man,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,0.214285714,-0.142857143
1,1,11,9,2,1.5,1,Man,1,1,-0.99,-0.99,-0.887742718,-1.137742718,0,1,7,6.75,0.675651314,0.425651314,-0.204285714,0.152857143,-0.785714286,-1.142857143
1,1,11,10,3,2.5,1,Man,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,-0.785714286,-0.142857143
