consent,Q19,Q15,Q17,Q18,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q27,Q29_1,Q29_2,Q48,Q50,Q50_5_TEXT,Q51,Q51_6_TEXT,IV1,IV2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,2
1,,,,,4,3,3,5,6,5,5,,,,,,,,1,2,5,20,3,,3,,1,2
1,,,,,6,6,6,6,6,6,6,,,,,,,,2,6,6,32,2,,,,2,1
1,,3,3,4,6,5,6,6,6,6,5,,,,,,,,1,4,6,400,3,,7,,1,1
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,5,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6,6,0,3,,7,,1,2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1,1,4,2,6,,,,,,,,,,,,,,,2,6,3,,,,,,2,1
1,1,4,4,4,5,5,5,4,4,3,5,7,7,7,5,4,6,7,2,2,6,19,2,,6,"Too many too include, all are important to me... But probably would be considered just white",2,2
1,1,5,4,4,7,6,7,4,5,4,4,7,4,7,7,1,7,7,2,5,6,20,2,,6,Multiracial,2,1
1,1,5,2,3,5,6,4,5,3,6,7,7,7,7,7,7,7,7,1,,5,20,2,,3,,1,2
1,1,5,4,6,6,6,6,5,4,7,7,6,6,7,7,5,7,7,2,4,6,18 years old,4,,3,,2,2
1,1,2,3,4,6,6,5,6,6,5,5,6,3,5,7,3,5,5,,6,2,18,2,,3,,2,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
1,1,5,3,4,5,6,6,4,5,7,6,6,4,7,6,5,7,6,2,5,4,20,5,Fluid,3,,2,1
1,1,3,8,3,4,4,6,3,6,5,4,6,3,6,7,3,5,1,2,2,7,22,1,,2,,2,2
1,1,6,5,5,6,4,5,4,6,5,4,6,4,6,7,4,5,5,2,3,5,19,3,,2,,2,1
1,1,5,4,6,4,3,5,6,5,6,6,7,4,6,7,2,6,7,1,2,5,28,1,,3,,1,2
